i,Analítica,Euler,RK5,Error_Euler,Error_RK5
1,2.091343279208834,0.0,2.092018207385742,2.091343279208834,0.0006749281769078408
2,4.862544322660906,5.456495727604012,4.863807448712378,0.5939514049431063,0.0012631260514721632
3,3.880690249781858,6.20993149253319,3.8816019386759386,2.3292412427513325,0.0009116888940807755
4,-0.706455038208853,0.601607525115897,-0.7065986713391714,1.30806256332475,0.00014363313031839908
5,-4.47705370026641,-5.766259056803119,-4.477907079988743,1.2892053565367094,0.0008533797223329032
6,-3.671136110944,-6.249418203614729,-3.67164995266161,2.578282092670729,0.0005138417176100418
7,0.6267362944253585,-0.49110933989595784,0.6271910644076075,1.1178456343213163,0.00045476998224902587
8,3.6206002472049907,5.13970352727471,3.6215611573014375,1.5191032800697193,0.000960910096446721
9,2.0076477294607518,4.474587330862963,2.0080774982956306,2.4669396014022116,0.0004297688348788853
10,-2.437784110637942,-1.7368233136242432,-2.4383561169150507,0.7009607970136988,0.0005720062771086276
11,-4.820604352273497,-6.661987346053232,-4.821562356611064,1.8413829937797352,0.0009580043375674308
12,-2.4860976040921168,-4.86281578197429,-2.4864086415508297,2.3767181778821733,0.0003110374587129705
13,2.0712223125514857,1.7545250613838523,2.0718820300896836,0.31669725116763336,0.0006597175381979348
14,3.928652372214707,6.0182356224423845,3.9295452190100306,2.0895832502276774,0.000892846795323532
15,1.1118022793715912,3.325595567171889,1.1119362987446788,2.2137932878002977,0.0001340193730876571
16,-3.2495352861976343,-3.32863640212969,-3.250321776354947,0.0791011159320556,0.0007864901573126915
17,-4.342529605013736,-6.625610778306258,-4.343391015248049,2.283081173292522,0.0008614102343127428
18,-0.931121324813652,-2.920660121535347,-0.9311287347643553,1.9895387967216949,7.409950703363144e-06
19,3.2932534952259664,3.773923630990603,3.2940972140890192,0.48067013576463635,0.0008437188630527892
20,3.7459616270015035,6.173884349590061,3.746724886190788,2.4279227225885576,0.0007632591892843266
21,-1.7763568394002505e-15,1.6837231376565103,-0.040476791853616856,1.7763568394002505e-15,1.7763568394002505e-15
